Name,FTF,BSF,BPFO,BPFI
68/600,0.47,8.02,12.19,13.81
6900,0.4,2.42,3.61,5.39
6901,0.41,2.74,4.12,5.88
6902,0.41,2.6,3.66,5.34
6903,0.42,2.86,4.57,6.43
6904,0.42,2.92,4.58,6.42
6905,0.43,3.45,5.58,7.42
6906,0.44,3.99,6.14,7.86
6907,0.43,3.47,5.15,6.85
6908,0.44,3.95,6.13,7.87
6909,0.44,3.89,6.12,7.88
6910,0.44,4.21,6.62,8.38
6911,0.45,4.67,7.15,8.85
6912,0.45,5.03,7.66,9.34
6913,0.45,5.38,8.63,10.37
6914,0.45,4.83,7.63,9.37
6915,0.45,5.12,8.13,9.87
6916,0.45,5.43,8.63,10.37
6917,0.45,4.92,7.64,9.36
6919,0.45,5.41,8.63,10.37
6920,0.45,5,7.66,9.34
6921,0.45,5.21,8.14,9.86
6922,0.45,5.42,8.63,10.37
6924,0.45,5.24,8.15,9.85
6926,0.45,5.1,8.13,9.87
6928,0.45,5.43,8.63,10.37
6930,0.45,5.11,8.13,9.87
6930,0.45,5.4,8.63,10.37
6934,0.46,5.69,8.67,10.33
6936,0.45,5.16,7.68,9.32
6938,0.45,5.41,8.17,9.83
6940,0.45,4.67,7.15,8.85
6944,0.45,5.07,7.67,9.33
6948,0.45,5.47,8.64,10.36
6952,0.45,4.83,7.63,9.37
6956,0.45,5.15,8.13,9.87
6960,0.45,4.67,7.15,8.85
6964,0.45,4.94,7.65,9.35
6968,0.45,5.2,8.14,9.86
6872,0.45,5.47,8.64,10.36
6976,0.45,5.41,8.17,9.83
6980,0.46,5.65,8.67,10.33
6984,0.46,5.89,9.16,10.84
6988,0.46,5.81,8.69,10.31
6992,0.46,6.03,9.18,10.82
6996,0.46,5.51,8.19,9.81
BL205,0.4,2.36,4.78,7.22
BL2/28,0.39,2.15,4.67,7.33
BL206,0.4,2.34,5.17,7.83
BL2/32,0.39,2.24,4.72,7.28
BL207,0.4,2.31,5.15,7.85
BL208,0.4,2.42,5.61,8.39
BL209,0.4,2.46,5.63,8.37
BL210,0.41,2.66,6.14,8.86
BL211,0.41,2.62,6.12,8.88
BL212,0.41,2.63,6.12,8.88
BL213,0.41,2.69,6.15,8.85
BL214,0.41,2.7,6.16,8.84
BL215,0.42,2.88,6.65,9.35
BL216,0.41,2.8,6.62,9.38
BL217,0.42,2.89,6.65,9.35
BL218,0.41,2.73,6.58,9.42
BL219,0.41,2.69,6.15,8.85
BL220,0.41,2.66,6.14,8.86
